Time Tag,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865
1712665065908 ,0.484262913,0.395969719,4.151461601,4.992226601,7.515500546,12.01270866,16.73945808,19.68082428,19.57919884,16.47999763,11.7003479,7.237361431,4.741512775,3.866451502,0.648125768,0.386206031
1712665065981 ,0.410136223,0.39482674,2.315261126,2.663340569,4.932020664,8.559539795,34.8853302,95.19468689,103.096344,43.19460297,5.887538433,4.201046467,3.041377306,2.218900204,0.976979136,0.431935936
1712665066063 ,0.28746444,0.293557882,1.3343997,1.58522439,3.354443312,7.757451057,40.82067871,138.262085,153.8316345,60.2027626,4.496482372,3.158049583,1.584711671,1.462129951,0.707137465,0.359102696
1712665066140 ,0.26232934,0.273996323,0.775286436,1.000405788,2.641009569,6.321892262,46.52954865,161.2663574,177.7575684,67.18878937,3.236624002,2.679457426,1.416760325,1.008980393,0.548163772,0.239572912
1712665066224 ,0.300114453,0.357907772,0.532558203,0.624680936,2.32506156,5.75232029,44.66808319,161.2579041,179.8863831,69.09356689,5.030846596,3.349059582,1.246160507,0.832517743,0.416953415,0.203134894
1712665066301 ,0.350181729,0.378986299,0.425226629,0.46444416,1.652684569,6.045089722,45.62090302,167.4384308,186.8441925,71.29006958,4.605831146,2.320002317,1.565494299,0.661074519,0.421691239,0.264450431
1712665066383 ,0.273776472,0.391310751,0.422977507,0.567221522,1.873059988,5.23289156,47.71743393,170.4124146,186.7624817,70.1555481,3.968680859,1.973725557,1.028097153,0.693179429,0.652873814,0.348928511
1712665066463 ,0.218278646,0.303043753,0.403622448,0.449122638,1.27449131,6.475276947,50.00102615,184.4583588,205.4787292,78.25749969,2.949448586,1.42809093,0.851084471,0.763393402,0.541356564,0.352953434
1712665066544 ,0.262855589,0.255186588,0.350084633,0.370397598,2.048781872,4.797081947,48.06945038,175.8614502,197.0830841,76.30274963,4.187111855,1.800445557,0.784811914,0.589623451,0.416267693,0.241346717
1712665066625 ,0.297275662,0.319214821,0.295323104,0.421338826,1.154587626,5.283128738,39.6443367,156.1050568,181.6678925,72.44335938,3.852149487,2.26123786,0.641990006,0.601761878,0.359176636,0.203973204
1712665066704 ,0.290940642,0.344459862,0.402848005,0.607270062,1.435689688,3.400122404,39.88121033,133.8647156,138.7295837,54.34825134,9.392502785,2.398671627,0.627450347,0.508505464,0.369472921,0.217171371
1712665066792 ,0.240200639,0.30941087,0.313177228,0.583083928,1.050695896,4.8651371,40.79039764,149.2541199,164.4447784,63.97742844,6.72604084,2.624074459,0.482956171,0.626579285,0.394732475,0.24384582
1712665066868 ,0.173677772,0.250602603,0.240161747,0.443061769,1.624034882,3.857984304,42.70146179,152.3647308,166.1796265,62.12096786,3.907095909,2.199050665,0.72813344,0.532149434,0.384602785,0.236439973
1712665066970 ,0.168511927,0.238588691,0.259157419,0.457101107,1.359004498,5.875662804,44.01094437,163.5935364,181.7250061,67.6603775,4.003931522,2.193687439,0.445419043,0.537981391,0.327253401,0.188461259
1712665067049 ,0.203676254,0.270005822,0.36357522,0.511396945,1.739517331,5.133223534,50.27060699,179.8093567,196.0138245,70.01204681,3.91847086,1.642913818,0.845729589,0.620047748,0.27856034,0.148634031
1712665067125 ,0.224285617,0.28852886,0.324800849,0.335291654,1.75554204,5.700065613,42.24206543,163.375885,185.3541718,70.08662415,4.916884422,1.9088732,0.668389559,0.617259145,0.302576214,0.187907577
1712665067208 ,0.152064115,0.290253103,0.319434106,0.275090992,1.57276082,5.069324017,41.50397873,152.8231506,167.7993164,60.83879089,3.460230112,1.570687056,0.767437875,0.556185126,0.304057479,0.265931994
1712665067285 ,0.165674016,0.250490248,0.298348367,0.309091419,1.585207939,4.757548809,44.48210526,157.8882141,170.4042664,60.18989944,4.027764797,1.486121416,0.523185551,0.473046124,0.314727485,0.258967161
1712665067364 ,0.254546881,0.285370409,0.30712235,0.391021132,1.326887608,5.095602036,42.63619995,153.984436,167.6949463,59.80071259,3.309416294,1.347157001,0.615950823,0.476806223,0.293376893,0.224382862
1712665067447 ,0.336370587,0.383046687,0.300189435,0.282078087,1.666487217,4.110340595,36.34505844,137.427536,155.3875732,58.60420609,2.123021603,1.597100735,0.630725205,0.490626037,0.366257548,0.274781644
1712665067526 ,0.342925251,0.428271115,0.205661222,0.260367304,0.982387066,3.797268391,25.63934135,104.0846252,122.726944,49.21126556,2.197352409,1.007327318,0.676829636,0.42062372,0.508573413,0.331334829
1712665067606 ,0.325625718,0.297648549,0.132701635,0.230935961,0.814694047,2.713757038,16.65285683,71.83383179,86.96191406,35.64559174,1.534846544,0.905956745,0.437675834,0.305086792,0.509324551,0.413772076
1712665067685 ,0.288105726,0.280323267,0.098502561,0.131826282,0.792276502,1.833269119,12.22870731,53.99781418,66.50400543,27.94965744,1.326828718,0.557684422,0.394380301,0.255273342,0.476547331,0.344292283
1712665067768 ,0.40591383,0.301850915,0.092277698,0.143208504,0.558442235,2.078787804,10.46092796,46.96481323,57.71036911,24.16559219,0.93963623,0.60978657,0.303389132,0.200644732,0.428658217,0.300496399
1712665067846 ,0.422962964,0.459465176,0.113717437,0.132328272,0.510237336,1.668407679,11.17444706,42.69688416,48.7304306,18.47969818,1.118782997,0.556073844,0.319816977,0.169611931,0.518978357,0.316082537
1712665067926 ,0.378043234,0.512117326,0.059166342,0.151174262,0.601248622,1.477261662,8.709781647,38.48423004,47.61134338,20.10519409,0.91237855,0.690262198,0.323806524,0.192468718,0.622777879,0.356547266
1712665068006 ,0.28741917,0.421513945,0.2652753,0.539440036,1.061813831,2.461228848,11.14535522,46.45786285,56.21829605,23.10022354,1.066432953,1.112561941,0.351812929,0.187199563,0.633063674,0.377666771
1712665068085 ,0.238805383,0.405934304,0.254556477,0.585771322,1.003397465,4.539869308,25.74992561,58.83022308,53.47666168,18.89972878,3.474731445,1.281250954,0.447515666,0.20316188,0.577279568,0.322398037
1712665068163 ,0.345491707,0.44772464,0.212238401,0.465451419,0.864301324,2.406173944,13.88232136,31.84560585,28.42111969,11.15760326,2.141475439,1.024879336,0.502563417,0.198381305,0.465276808,0.281847149
1712665068269 ,0.416687101,0.518442154,0.163950592,0.444719344,0.557683289,1.773886919,11.88109779,38.81771088,48.13173676,25.08706856,3.454489231,0.933443367,0.635438323,0.22626476,0.496296704,0.325321048
